E N D Resistivity
810393 2192290 30 0.20034
810393 2192290 32 0.24198
810393 2192290 34 0.24198
810393 2192290 36 0.24198
810393 2192290 38 0.24198
810393 2192290 40 0.24198
810393 2192290 42 0.30812
810393 2192290 44 0.30812
810393 2192290 46 0.30812
810393 2192290 48 0.30812
810393 2192290 50 0.30812
810393 2192290 52 0.44766
810393 2192290 54 0.44766
810393 2192290 56 0.44766
810393 2192290 58 0.44766
810393 2192290 60 0.44766
810393 2192290 62 0.76611
810393 2192290 64 0.76611
810392 2192288 0 0.15561
810392 2192288 2 0.15835
810392 2192288 4 0.15835
810392 2192288 6 0.15835
810392 2192288 8 0.15835
810392 2192288 10 0.15835
810392 2192288 12 0.17054
810392 2192288 14 0.17054
810392 2192288 16 0.17054
810392 2192288 18 0.17054
810392 2192288 20 0.17054
810392 2192288 22 0.20034
810392 2192288 24 0.20034
810392 2192288 26 0.20034
810392 2192288 28 0.20034
810392 2192288 30 0.20034
810392 2192288 32 0.24198
810392 2192288 34 0.24198
810392 2192288 36 0.24198
810392 2192288 38 0.24198
810392 2192288 40 0.24198
810392 2192288 42 0.30812
810392 2192288 44 0.30812
810392 2192288 46 0.30812
810392 2192288 48 0.30812
810392 2192288 50 0.30812
810392 2192288 52 0.44766
810392 2192288 54 0.44766
810392 2192288 56 0.44766
810392 2192288 58 0.44766
810392 2192288 60 0.44766
810392 2192288 62 0.76611
810392 2192288 64 0.76611
810390 2192287 0 0.15561
810390 2192287 2 0.15561
810390 2192287 4 0.15561
810390 2192287 6 0.15561
810390 2192287 8 0.15561
810390 2192287 10 0.15561
810390 2192287 12 0.17298
810390 2192287 14 0.17298
810390 2192287 16 0.17298
810390 2192287 18 0.17298
810390 2192287 20 0.17298
810390 2192287 22 0.21042
810390 2192287 24 0.21042
810390 2192287 26 0.21042
810390 2192287 28 0.21042
810390 2192287 30 0.21042
810390 2192287 32 0.25324
810390 2192287 34 0.25324
810390 2192287 36 0.25324
810390 2192287 38 0.25324
810390 2192287 40 0.25324
810390 2192287 42 0.31784
810390 2192287 44 0.31784
810390 2192287 46 0.31784
810390 2192287 48 0.31784
810390 2192287 50 0.31784
810390 2192287 52 0.44766
810390 2192287 54 0.44766
810390 2192287 56 0.44766
810390 2192287 58 0.44766
810390 2192287 60 0.44766
810390 2192287 62 0.76611
810390 2192287 64 0.76611
810389 2192286 0 0.15561
810389 2192286 2 0.15561
810389 2192286 4 0.15561
810389 2192286 6 0.15561
810389 2192286 8 0.15561
810389 2192286 10 0.15561
810389 2192286 12 0.17298
810389 2192286 14 0.17298
810389 2192286 16 0.17298
810389 2192286 18 0.17298
810389 2192286 20 0.17298
810389 2192286 22 0.21042
810389 2192286 24 0.21042
810389 2192286 26 0.21042
810389 2192286 28 0.21042
810389 2192286 30 0.21042
810389 2192286 32 0.25324
810389 2192286 34 0.25324
810389 2192286 36 0.25324
810389 2192286 38 0.25324
810389 2192286 40 0.25324
810389 2192286 42 0.31784
810389 2192286 44 0.31784
810389 2192286 46 0.31784
810389 2192286 48 0.31784
810389 2192286 50 0.31784
810389 2192286 52 0.44766
810389 2192286 54 0.44766
810389 2192286 56 0.44766
810389 2192286 58 0.44766
810389 2192286 60 0.44766
810389 2192286 62 0.76611
810389 2192286 64 0.76611
810387 2192285 0 0.15561
810387 2192285 2 0.15561
810387 2192285 4 0.15561
810387 2192285 6 0.15561
810387 2192285 8 0.15561
810387 2192285 10 0.15561
810387 2192285 12 0.17298
810387 2192285 14 0.17298
810387 2192285 16 0.17298
810387 2192285 18 0.17298
810387 2192285 20 0.17298
810387 2192285 22 0.21042
810387 2192285 24 0.21042
810387 2192285 26 0.21042
810387 2192285 28 0.21042
810387 2192285 30 0.21042
810387 2192285 32 0.25324
810387 2192285 34 0.25324
810387 2192285 36 0.25324
810387 2192285 38 0.25324
810387 2192285 40 0.25324
810387 2192285 42 0.31784
810387 2192285 44 0.31784
810387 2192285 46 0.31784
810387 2192285 48 0.31784
810387 2192285 50 0.31784
810387 2192285 52 0.44766
810387 2192285 54 0.44766
810387 2192285 56 0.44766
810387 2192285 58 0.44766
810387 2192285 60 0.44766
810387 2192285 62 0.76611
810387 2192285 64 0.76611
810386 2192283 0 0.15561
810386 2192283 2 0.15561
810386 2192283 4 0.15561
810386 2192283 6 0.15561
810386 2192283 8 0.15561
810386 2192283 10 0.15561
810386 2192283 12 0.17298
810386 2192283 14 0.17298
810386 2192283 16 0.17298
810386 2192283 18 0.17298
810386 2192283 20 0.17298
810386 2192283 22 0.21042
810386 2192283 24 0.21042
810386 2192283 26 0.21042
810386 2192283 28 0.21042
810386 2192283 30 0.21042
810386 2192283 32 0.25324
810386 2192283 34 0.25324
810386 2192283 36 0.25324
810386 2192283 38 0.25324
810386 2192283 40 0.25324
810386 2192283 42 0.31784
810386 2192283 44 0.31784
810386 2192283 46 0.31784
810386 2192283 48 0.31784
810386 2192283 50 0.31784
810386 2192283 52 0.44766
810386 2192283 54 0.44766
810386 2192283 56 0.44766
810386 2192283 58 0.44766
810386 2192283 60 0.44766
810386 2192283 62 0.76611
810386 2192283 64 0.76611
810384 2192282 0 0.15561
810384 2192282 2 0.15561
810384 2192282 4 0.15561
810384 2192282 6 0.15561
810384 2192282 8 0.15561
810384 2192282 10 0.15561
